Devices
1000
,,AMTI7377 - Force,
Frame,Sub Frame,Fz
,,N
250,0,0
250,1,0
250,2,0
250,3,0
250,4,0
250,5,0
250,6,0
250,7,0
250,8,0
250,9,0
251,0,0
251,1,0
251,2,0
251,3,0
251,4,0
251,5,0
251,6,0
251,7,0
251,8,0
251,9,0
252,0,0
252,1,0
252,2,0
252,3,0
252,4,0
252,5,0
252,6,0
252,7,0
252,8,0
252,9,0
253,0,0
253,1,0
253,2,0
253,3,0
253,4,0
253,5,0
253,6,0
253,7,0
253,8,0
253,9,0
254,0,0
254,1,0
254,2,0
254,3,0
254,4,0
254,5,0
254,6,0
254,7,0
254,8,0
254,9,0
255,0,0
255,1,0
255,2,0
255,3,0
255,4,0
255,5,0
255,6,0
255,7,0
255,8,0
255,9,0
256,0,0
256,1,0
256,2,0
256,3,0
256,4,0
256,5,0
256,6,0
256,7,0
256,8,0
256,9,0
257,0,0
257,1,0
257,2,0
257,3,0
257,4,0
257,5,0
257,6,0
257,7,0
257,8,0
257,9,0
258,0,0
258,1,0
258,2,0
258,3,0
258,4,0
258,5,0
258,6,0
258,7,0
258,8,0
258,9,0
259,0,0
259,1,0
259,2,0
259,3,0
259,4,0
259,5,0
259,6,0
259,7,0
259,8,0
259,9,0
260,0,0
260,1,0
260,2,0
260,3,0
260,4,0
260,5,0
260,6,0
260,7,0
260,8,0
260,9,0
261,0,0
261,1,0
261,2,0
261,3,0
261,4,0
261,5,0
261,6,0
261,7,0
261,8,0
261,9,0
262,0,0
262,1,0
262,2,0
262,3,0
262,4,0
262,5,0
262,6,0
262,7,0
262,8,0
262,9,0
263,0,0
263,1,0
263,2,0
263,3,0
263,4,0
263,5,0
263,6,0
263,7,0
263,8,0
263,9,0
264,0,0
264,1,0
264,2,0
264,3,0
264,4,0
264,5,0
264,6,0
264,7,0
264,8,0
264,9,0
265,0,0
265,1,0
265,2,0
265,3,0
265,4,0
265,5,0
265,6,0
265,7,0
265,8,0
265,9,0
266,0,0
266,1,0
266,2,0
266,3,0
266,4,0
266,5,0
266,6,0
266,7,0
266,8,0
266,9,0
267,0,0
267,1,0
267,2,0
267,3,0
267,4,0
267,5,0
267,6,0
267,7,0
267,8,0
267,9,0
268,0,0
268,1,0
268,2,0
268,3,0
268,4,0
268,5,0
268,6,0
268,7,0
268,8,0
268,9,0
269,0,0
269,1,0
269,2,0
269,3,0
269,4,0
269,5,0
269,6,0
269,7,0
269,8,0
269,9,0
270,0,0
270,1,0
270,2,0
270,3,0
270,4,0
270,5,0
270,6,0
270,7,0
270,8,0
270,9,0
271,0,0
271,1,0
271,2,0
271,3,0
271,4,0
271,5,0
271,6,-25.4457
271,7,-29.8576
271,8,-30.8757
271,9,-37.4935
272,0,-39.6994
272,1,-47.5049
272,2,-51.5774
272,3,-55.9893
272,4,-68.546
272,5,-88.9084
272,6,-117.076
272,7,-149.995
272,8,-185.799
272,9,-226.015
273,0,-254.013
273,1,-278.787
273,2,-283.369
273,3,-287.102
273,4,-281.842
273,5,-272
273,6,-265.212
273,7,-252.316
273,8,-252.486
273,9,-247.226
274,0,-246.207
274,1,-247.226
274,2,-244.511
274,3,-250.11
274,4,-253.334
274,5,-255.71
274,6,-262.328
274,7,-262.328
274,8,-264.534
274,9,-271.321
275,0,-276.581
275,1,-276.072
275,2,-281.502
275,3,-284.217
275,4,-287.95
275,5,-289.308
275,6,-294.059
275,7,-294.907
275,8,-291.514
275,9,-294.059
276,0,-290.496
276,1,-293.889
276,2,-292.023
276,3,-295.247
276,4,-294.568
276,5,-296.944
276,6,-296.435
276,7,-294.568
276,8,-296.435
276,9,-296.095
277,0,-296.095
277,1,-298.471
277,2,-302.713
277,3,-302.034
277,4,-304.58
277,5,-307.125
277,6,-310.858
277,7,-315.609
277,8,-314.252
277,9,-319.682
278,0,-319.512
278,1,-324.093
278,2,-326.639
278,3,-331.39
278,4,-332.578
278,5,-338.347
278,6,-340.214
278,7,-340.723
278,8,-342.25
278,9,-345.644
279,0,-351.752
279,1,-354.467
279,2,-360.237
279,3,-365.158
279,4,-371.436
279,5,-373.811
279,6,-383.993
279,7,-393.834
279,8,-406.9
279,9,-410.633
280,0,-419.457
280,1,-431.335
280,2,-436.086
280,3,-443.213
280,4,-450.001
280,5,-455.94
280,6,-456.618
280,7,-462.727
280,8,-464.424
280,9,-470.702
281,0,-469.854
281,1,-474.266
281,2,-474.266
281,3,-480.714
281,4,-478.847
281,5,-485.804
281,6,-485.635
281,7,-488.519
281,8,-492.931
281,9,-496.834
282,0,-497.682
282,1,-501.755
282,2,-504.47
282,3,-508.882
282,4,-513.972
282,5,-515.16
282,6,-519.402
282,7,-523.814
282,8,-526.359
282,9,-532.298
283,0,-533.147
283,1,-538.746
283,2,-537.05
283,3,-545.873
283,4,-550.794
283,5,-550.625
283,6,-553.679
283,7,-552.152
283,8,-556.054
283,9,-559.279
284,0,-560.466
284,1,-566.236
284,2,-565.896
284,3,-568.611
284,4,-567.423
284,5,-573.023
284,6,-574.041
284,7,-577.265
284,8,-577.435
284,9,-580.489
285,0,-583.544
285,1,-584.392
285,2,-588.634
285,3,-588.465
285,4,-588.125
285,5,-590.501
285,6,-591.01
285,7,-596.609
285,8,-594.573
285,9,-599.155
286,0,-598.815
286,1,-598.476
286,2,-603.058
286,3,-599.155
286,4,-598.306
286,5,-602.039
286,6,-597.967
286,7,-601.021
286,8,-602.888
286,9,-603.058
287,0,-602.039
287,1,-602.039
287,2,-601.191
287,3,-602.888
287,4,-599.833
287,5,-601.53
287,6,-603.227
287,7,-600.003
287,8,-600.512
287,9,-602.039
288,0,-597.288
288,1,-598.985
288,2,-601.021
288,3,-601.361
288,4,-602.209
288,5,-596.1
288,6,-597.797
288,7,-599.833
288,8,-595.082
288,9,-596.949
289,0,-593.894
289,1,-595.931
289,2,-597.458
289,3,-591.18
289,4,-593.725
289,5,-589.652
289,6,-590.501
289,7,-589.992
289,8,-588.465
289,9,-584.392
290,0,-588.634
290,1,-583.713
290,2,-581.507
