Devices
1000
,,AMTI7377 - Force,
Frame,Sub Frame,Fz
,,N
283,0,0
283,1,0
283,2,0
283,3,0
283,4,0
283,5,0
283,6,0
283,7,0
283,8,0
283,9,0
284,0,0
284,1,0
284,2,0
284,3,0
284,4,0
284,5,0
284,6,0
284,7,0
284,8,0
284,9,0
285,0,0
285,1,0
285,2,0
285,3,0
285,4,0
285,5,0
285,6,0
285,7,0
285,8,0
285,9,0
286,0,0
286,1,0
286,2,0
286,3,0
286,4,0
286,5,0
286,6,0
286,7,0
286,8,0
286,9,0
287,0,0
287,1,0
287,2,0
287,3,0
287,4,0
287,5,0
287,6,0
287,7,0
287,8,0
287,9,0
288,0,0
288,1,0
288,2,0
288,3,0
288,4,0
288,5,0
288,6,0
288,7,0
288,8,0
288,9,0
289,0,0
289,1,0
289,2,0
289,3,0
289,4,0
289,5,0
289,6,0
289,7,0
289,8,0
289,9,0
290,0,0
290,1,0
290,2,0
290,3,0
290,4,0
290,5,0
290,6,0
290,7,0
290,8,0
290,9,0
291,0,0
291,1,0
291,2,0
291,3,0
291,4,0
291,5,0
291,6,0
291,7,0
291,8,0
291,9,0
292,0,0
292,1,0
292,2,0
292,3,0
292,4,0
292,5,0
292,6,0
292,7,0
292,8,0
292,9,0
293,0,0
293,1,0
293,2,0
293,3,0
293,4,0
293,5,0
293,6,0
293,7,0
293,8,0
293,9,0
294,0,0
294,1,0
294,2,0
294,3,0
294,4,0
294,5,0
294,6,0
294,7,0
294,8,0
294,9,0
295,0,0
295,1,0
295,2,0
295,3,0
295,4,0
295,5,0
295,6,0
295,7,0
295,8,0
295,9,0
296,0,0
296,1,0
296,2,0
296,3,0
296,4,0
296,5,0
296,6,0
296,7,0
296,8,0
296,9,0
297,0,0
297,1,0
297,2,0
297,3,0
297,4,0
297,5,0
297,6,0
297,7,0
297,8,0
297,9,0
298,0,0
298,1,0
298,2,0
298,3,0
298,4,0
298,5,0
298,6,0
298,7,0
298,8,0
298,9,0
299,0,0
299,1,0
299,2,0
299,3,0
299,4,0
299,5,0
299,6,0
299,7,0
299,8,0
299,9,0
300,0,0
300,1,0
300,2,0
300,3,0
300,4,0
300,5,0
300,6,0
300,7,0
300,8,0
300,9,0
301,0,0
301,1,0
301,2,0
301,3,0
301,4,0
301,5,0
301,6,0
301,7,0
301,8,0
301,9,0
302,0,0
302,1,0
302,2,0
302,3,0
302,4,0
302,5,0
302,6,0
302,7,0
302,8,0
302,9,0
303,0,0
303,1,0
303,2,0
303,3,0
303,4,0
303,5,-27.1426
303,6,-32.2332
303,7,-29.8576
303,8,-33.7604
303,9,-35.2875
304,0,-35.9663
304,1,-41.5659
304,2,-44.9596
304,3,-52.0865
304,4,-68.546
304,5,-82.7997
304,6,-106.386
304,7,-133.196
304,8,-163.91
304,9,-195.98
305,0,-223.47
305,1,-244.002
305,2,-253.334
305,3,-254.183
305,4,-256.219
305,5,-254.013
305,6,-247.904
305,7,-245.698
305,8,-241.796
305,9,-238.741
306,0,-236.196
306,1,-237.044
306,2,-238.232
306,3,-243.153
306,4,-240.947
306,5,-244.511
306,6,-247.565
306,7,-253.165
306,8,-257.576
306,9,-260.461
307,0,-267.249
307,1,-267.927
307,2,-273.866
307,3,-274.884
307,4,-280.823
307,5,-284.387
307,6,-288.799
307,7,-291.683
307,8,-294.059
307,9,-296.944
308,0,-298.301
308,1,-303.222
308,2,-302.204
308,3,-305.767
308,4,-304.749
308,5,-307.464
308,6,-311.537
308,7,-313.743
308,8,-315.948
308,9,-317.985
309,0,-317.306
309,1,-321.718
309,2,-325.79
309,3,-330.372
309,4,-332.578
309,5,-337.159
309,6,-342.42
309,7,-344.286
309,8,-352.94
309,9,-367.024
310,0,-370.757
310,1,-385.18
310,2,-387.217
310,3,-400.452
310,4,-411.991
310,5,-412.5
310,6,-419.118
310,7,-429.638
310,8,-432.184
310,9,-440.838
311,0,-444.062
311,1,-448.473
311,2,-456.958
311,3,-455.091
311,4,-460.351
311,5,-460.351
311,6,-466.969
311,7,-465.781
311,8,-469.345
311,9,-473.926
312,0,-473.248
312,1,-477.659
312,2,-482.411
312,3,-484.277
312,4,-493.101
312,5,-495.476
312,6,-499.549
312,7,-504.809
312,8,-510.918
312,9,-515.33
313,0,-524.493
313,1,-524.153
313,2,-529.244
313,3,-534.165
313,4,-541.631
313,5,-543.667
313,6,-547.74
313,7,-552.83
313,8,-556.224
313,9,-558.769
314,0,-562.163
